                        domain                         |       ip        
 *.dan.dev.biv.sony.tv                                 | 34.215.127.239
 spheconnectaws-qa.spe.sony.com                        | 34.216.200.125
 call.me.sel.sony.com                                  | 34.215.67.132
 *.flashgordon.sonymobile.com                          | 13.48.164.213
 *.flashgordon.sonymobile.com                          | 13.48.214.148
 *.biv.sony.tv                                         | 34.223.33.209
 *.evedmp.sonynei.net                                  | 34.223.244.33
 admin.sonyrewards.com                                 | 34.223.241.139
 sptaws-alb.spe.sony.com                               | 52.37.47.194
 *.search.pro-bravia.sony.net                          | 18.221.207.205
 *.pd.biv.sony.tv                                      | 52.36.160.234
 *.sagent.sonymobile.com                               | 52.38.129.123
 *.lw2.dev.biv.sony.tv                                 | 52.36.104.143
 internet.sony.tv                                      | 52.36.114.79
 *.internet.sony.tv                                    | 52.36.114.84
 spheconnectaws-dev.spe.sony.com                       | 52.36.246.240
 *.prod.sonyentertainmentnetwork.com                   | 52.36.105.80
 portals.sonypictures.com                              | 52.37.145.69
 connect-alb.sonypictures.com                          | 52.38.238.161
 stage-microsites.sonypictures.com                     | 52.36.92.226
 *.wws.sony.com                                        | 52.36.95.161
 *.bluebook.sony.net                                   | 54.193.17.111
 internet.sony.tv                                      | 52.39.139.232
 *.internet.sony.tv                                    | 52.39.226.151
 *.sonystyle.com.cn                                    | 54.222.236.120
 acafe.msc.sony.jp                                     | 18.182.144.73
 applicast.tv.start.sony.jp                            | 18.182.190.107
 *.mobility-ai.sony.net                                | 18.182.175.70
 *.prc.sonydna.com                                     | 18.182.152.172
 sptaws-alb.spe.sony.com                               | 54.203.95.75
 *.sony.eu                                             | 52.71.71.59
 systemwatch.sony.com                                  | 52.71.114.64
 *.nonprod.evedmp.sonynei.net                          | 52.39.1.71
 *.internet.sony.tv                                    | 52.39.231.189
 *.sony.com.cn                                         | 54.222.162.63
 *.sony.com.cn                                         | 54.222.200.227
 sf.prod.sonyentertainmentnetwork.com                  | 54.215.130.193
 *.sony.com.cn                                         | 54.222.254.211
 *.ebookstore.sony.jp                                  | 18.182.76.182
 *.reach.sonymobile.biz                                | 18.178.222.177
